AS7,,,,,AS1,,,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS11,AS11,AS11,AS11,AS11,AS1,AS11,AS1,AS1,AS1,AS1,
,,,,,AS2,,,,,,,,,,,,,,,,,,,,AS2,AS2,
,AS3,AS2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AS4,,,,,,,,,,,,,,,,,,,,,,,,
AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS2,AS6,
AS3,AS3,AS3,AS3,AS3,AS3,AS2,AS2,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS2,AS3,
,,,,,,,,AS2,AS2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,AS2,,
AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS2,AS3,
AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,
,,,,,,,,,,,,,AS10,,,,,,,,,,,,,,
AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS9,AS2,AS9,AS2,AS2,
AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS2,AS6,AS6,
,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS2,AS13,AS2,AS2,AS2,AS2,AS2,AS2
,,,,,,,,AS12,,,,,,,,,,,,,,,,,,,
AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,AS5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS7,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE