0,1,13,13,0,4,13,14,15,17,17,18,9,10,11,11,22,22,22,22,22,21,22,13,14,1,13,
30,30,30,30,30,5,30,30,30,,,,,,,,,,,,,,,,,1,2,
,22,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,,,,,6,6,,,,,,,,,,,,,,,,,,5,,
,,,,,,,,7,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,8,,
,,,,,,,,,,,,,,,,,,,,,,,,,8,,22
,,,,,,,,,,,,22,,,,,,,,,,,,,,,
,,,,,,,,,,,,,22,,,,,,,,,,,,,,
,,,,,,,,,,,,12,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,13,13,13,,,13,13,,,,,,,,,,,,,,,,13,13,13,,22
,,,,,,,14,,,,,,,,,,,,,,,,,14,,,22
,,,,,,,,16,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,19,,,,,,,,,,,22
19,,,,,,,,,,,,,,,,,20,,,,,,,,,,19
,,,,,,,,,,,0,,,,,,,,,,,,,,,,19
23,,,,,,,,,,,,,,,,,,,,,0,,,,,,21